seed,num_facilities,num_clients,k,greedy_cost,greedy_runtime_seconds,local_search_cost,local_search_runtime_seconds,local_search_total_runtime_seconds,cost_improvement_pct,swap_iterations_to_convergence,improving_swaps,evaluated_swaps
1,20,20,4,383.37437737984993,0.0009118339512497187,383.37437737984993,0.00028054206632077694,0.0011923760175704956,0.0,1,0,64
2,20,20,4,345.5353094807845,0.000896541983820498,345.5353094807845,0.0002520410344004631,0.001148583018220961,0.0,1,0,64
3,20,20,4,336.0132503814139,0.0008225420024245977,319.4602677402351,0.0004972920287400484,0.0013198340311646461,4.926288657482778,2,1,128
4,20,20,4,358.68090640348373,0.0008155830437317491,349.2385848923635,0.0004957909695804119,0.001311374013312161,2.632513006002737,2,1,128
5,20,20,4,472.43378334427365,0.000810040975920856,421.10887323188507,0.0007460420019924641,0.00155608297791332,10.863937322405013,3,2,192
1,40,40,8,527.2236203451803,0.007989333011209965,501.59454018477714,0.005627500009723008,0.013616833020932972,4.86114035323824,3,2,768
2,40,40,8,624.0130130195629,0.008146625012159348,596.223356802209,0.005874042049981654,0.014020667062141001,4.45337767603297,3,2,768
3,40,40,8,537.9363413955141,0.007988875033333898,492.2935299206965,0.00748333299998194,0.015472208033315837,8.48479791426826,4,3,1024
4,40,40,8,460.4766353208874,0.008016582927666605,438.06493702437734,0.0038241250440478325,0.011840707971714437,4.867065248792103,2,1,512
5,40,40,8,528.4901427226206,0.008027417003177106,475.6682249309812,0.009291082969866693,0.0173184999730438,9.994872850327338,5,4,1280
1,60,60,12,598.8388161521531,0.033487249980680645,576.0767741533595,0.027878790977410972,0.06136604095809162,3.8010298238600213,4,3,2304
2,60,60,12,612.67415461696,0.032534291967749596,604.2746678621799,0.03324991697445512,0.06578420894220471,1.3709549670871026,5,4,2880
3,60,60,12,641.752501114349,0.03224933298770338,627.554617336316,0.019599582999944687,0.05184891598764807,2.212361269084195,3,2,1728
4,60,60,12,580.6977188170795,0.039518625009804964,580.6977188170795,0.006463750032708049,0.04598237504251301,0.0,1,0,576
5,60,60,12,608.595403913896,0.03354587499052286,585.2881184173008,0.032770499936304986,0.06631637492682785,3.8296847703261228,5,4,2880
1,80,80,16,674.8696079092414,0.09055929200258106,624.0068644378619,0.10242691601160914,0.1929862080141902,7.536677141078149,7,6,7168
2,80,80,16,685.991837965914,0.09113120893016458,667.2143146067165,0.06102466699667275,0.15215587592683733,2.737280871282108,4,3,4096
3,80,80,16,720.5318499373813,0.0913695840863511,683.7903099667926,0.08755799999926239,0.1789275840856135,5.099224964695413,6,5,6144
4,80,80,16,727.2956318263608,0.08956737502012402,701.8924306513893,0.10572441597469151,0.19529179099481553,3.492830159199476,7,6,7168
5,80,80,16,698.2064318754176,0.09252104198094457,680.3614890730679,0.09040970797650516,0.18293074995744973,2.555826183728683,6,5,6144
1,100,100,20,724.2882292374287,0.2025811249623075,705.2955531995177,0.2598276670323685,0.462408791994676,2.62225385850983,9,8,14400
2,100,100,20,815.0154556426311,0.20277429197449237,778.8822148629218,0.1851795840775594,0.3879538760520518,4.4334424003307475,6,5,9600
3,100,100,20,782.0875652520907,0.2070735830347985,740.5149075062644,0.3614196659764275,0.568493249011226,5.315601422767303,9,8,14400
4,100,100,20,878.3376326733453,0.3753346659941599,826.0625450670053,0.4553023329935968,0.8306369989877567,5.951593745019593,7,6,11200
5,100,100,20,774.8095821053494,0.4880114169791341,757.8657451425618,0.3639697498874739,0.851981166866608,2.186838851004785,9,8,14400
